 ,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,1,agecare — beverly centre glenmore,,Calgary,ab,T2V4S1,,,,,No,,NA,NA
2,2,agecare — beverly centre lake midnapore,,Calgary,ab,T2X3S3,,,,,No,,NA,NA
3,3,agecare — sagewood seniors community inc,,Strathmore,ab,T1P0E2,,,,,No,,NA,NA
4,4,agecare — seton,,Calgary,ab,T3M2M3,,,,,No,,NA,NA
5,5,agecare — skypointe,,Calgary,ab,T3N0Y7,,,,,No,,NA,NA
6,6,agecare — valleyview,,Medicine Hat,ab,T1A7K5,,,,,No,,NA,NA
7,7,agecare — walden heights seniors community,,Calgary,ab,T2X0V1,,,,,No,,NA,NA
8,8,allen gray continuing care centre,,Edmonton,ab,T6L7G1,,,,,No,,NA,NA
9,9,bethany care society — bethany airdrie,,Airdrie,ab,T4B2C4,,,,,No,,NA,NA
10,10,bethany care society — bethany calgary,,Calgary,ab,T2N1C6,,,,,No,,NA,NA
11,11,bethany care society — bethany cochrane,,Cochrane,ab,T4C1X9,,,,,No,,NA,NA
12,12,bethany care society — bethany collegeside,,Red Deer,ab,T4R0M3,,,,,No,,NA,NA
13,13,bethany care society — bethany harvest hills,,Calgary,ab,T3K4Y1,,,,,No,,NA,NA
14,14,bethany care society — bethany riverview,,Calgary,ab,T2B2W6,,,,,No,,NA,NA
15,15,bethany care society — bethany sylvan lake,,Sylvan Lake,ab,T4S2M3,,,,,No,,NA,NA
16,16,capitalcare — dickinsfield,,Edmonton,ab,T5E6C6,,,,,No,,NA,NA
17,17,capitalcare — lynnwood,,Edmonton,ab,T5R2R8,,,,,No,,NA,NA
18,18,capitalcare — strathcona,,,ab,T8H1V3,,,,,No,,NA,NA
19,19,capitalcare — the dianne and irving kipnes centre for veterans,,Edmonton,ab,T5E6M8,,,,,No,,NA,NA
20,20,carewest — colonel belcher,,Calgary,ab,T3B5Y8,,,,,No,,NA,NA
21,21,carewest — dr. vernon fanning centre,,Calgary,ab,T2E6V7,,,,,No,,NA,NA
22,22,carewest — garrison green,,Calgary,ab,T3E6Z5,,,,,No,,NA,NA
23,23,carewest — george boyack,,Calgary,ab,T2E0A5,,,,,No,,NA,NA
24,24,carewest — glenmore park,,Calgary,ab,T2V1P8,,,,,No,,NA,NA
25,25,carewest — rouleau manor,,Calgary,ab,T2S3C3,,,,,No,,NA,NA
26,26,carewest — royal park,,Calgary,ab,T3E7J8,,,,,No,,NA,NA
27,27,carewest — sarcee,,Calgary,ab,T3E4T4,,,,,No,,NA,NA
28,28,carewest — signal pointe,,Calgary,ab,T3H4M3,,,,,No,,NA,NA
29,29,chantelle management ltd. — edith cavell care centre,,Lethbridge,ab,T1J0V6,,,,,No,,NA,NA
30,30,chantelle management ltd. — grande prairie care centre,,Grande Prairie,ab,T8V3A2,,,,,No,,NA,NA
31,31,covenant care — foyer lacombe,,St. Albert,ab,T8N1K1,,,,,No,,NA,NA
32,32,covenant care — villa marie,,Red Deer,ab,T4P0S3,,,,,No,,NA,NA
33,33,covenant health youville home,,St. Albert,ab,T8N1K1,,,,,No,,NA,NA
34,34,dr. cooke extended care centre,56 avenue,Lloydminster (Part),ab,T9V1N9,,,,,No,,53.273049,-110.019164
35,35,dr. w. r. keir - barrhead continuing care centre,,Barrhead,ab,T7N1L2,,,,,No,,NA,NA
36,36,edmonton chinatown care centre,,Edmonton,ab,T5H0G2,,,,,No,,NA,NA
37,37,extendicare — athabasca,,Athabasca,ab,T9S1K4,,,,,No,,NA,NA
38,38,extendicare — bonnyville,,Bonnyville,ab,T9N2E8,,,,,No,,NA,NA
39,39,extendicare — cedars villa,,Calgary,ab,T3C0E7,,,,,No,,NA,NA
40,40,extendicare — eaux claires,,Edmonton,ab,T5Z0G7,,,,,No,,NA,NA
41,41,extendicare — fort macleod,,Fort Macleod,ab,T0L0Z0,,,,,No,,NA,NA
42,42,extendicare — hillcrest,,Calgary,ab,T2N1C1,,,,,No,,NA,NA
43,43,extendicare — holyrood,,Edmonton,ab,T6C2T1,,,,,No,,NA,NA
44,44,extendicare — leduc,,Leduc,ab,T9E6K6,,,,,No,,NA,NA
45,45,extendicare — mayerthorpe,,Mayerthorpe,ab,T0E1N0,,,,,No,,NA,NA
46,46,extendicare — michener hill,,Red Deer,ab,T4P0M1,,,,,No,,NA,NA
47,47,extendicare — st paul,,St. Paul,ab,T0A3A0,,,,,No,,NA,NA
48,48,extendicare — viking,,Viking,ab,T0B4N0,,,,,No,,NA,NA
49,49,extendicare — vulcan,,Vulcan,ab,T0L2B0,,,,,No,,NA,NA
50,50,father lacombe care society — father lacombe care centre,,Calgary,ab,T2X2A3,,,,,No,,NA,NA
51,51,father lacombe care society — providence care centre,,Calgary,ab,T2X0X2,,,,,No,,NA,NA
52,52,galahad care centre,,,ab,T0B1R0,,,,,No,,NA,NA
53,53,glenrose rehabilitation hospital,111 ave,Edmonton,ab,T5G0B7,,,,,No,,53.5601013,-113.4976534
54,54,hythe continuing care centre,,Hythe,ab,T0H2C0,,,,,No,,NA,NA
55,55,intercare corporate group inc. — brentwood care centre,,Calgary,ab,T2N3Y6,,,,,No,,NA,NA
56,56,intercare corporate group inc. — chinook care centre,,Calgary,ab,T2V4Y8,,,,,No,,NA,NA
57,57,intercare corporate group inc. — southwood care centre,,Calgary,ab,T2H1M9,,,,,No,,NA,NA
58,58,la crete continuing care centre,,,ab,T0H2H0,,,,,No,,NA,NA
59,59,lloydminster continuing care centre,29 street,Lloydminster (Part),ab,T9V3N1,,,,,No,,53.274952,-110.017784
60,60,manoir du lac,,McLennan,ab,T0H2L0,,,,,No,,NA,NA
61,61,masterpiece southland meadows,,Medicine Hat,ab,T1B0B9,,,,,No,,NA,NA
