 ,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,1,alberta hip and knee clinic,,Edmonton,ab,T5E5R8,,,,,No,,NA,NA
2,2,bonnyville healthcare centre,lakeshore drive,Bonnyville,ab,T9N2J7,,,,,No,,54.26373,-110.7393
3,3,calgary retina consultants,,Calgary,ab,T3E7M8,,,,,No,,NA,NA
4,4,david b. climenhaga professional corporation,,Edmonton,ab,T5J3S9,,,,,No,,NA,NA
5,5,eye q premium laser,,Edmonton,ab,T5N1R8,,,,,No,,NA,NA
6,6,george mcdougall - smoky lake healthcare centre,55 avenue,Smoky Lake,ab,T0A3C0,,,,,No,,54.12128065,-112.4652356
7,7,grimshaw / berwyn and district community health centre,wilcox road,Grimshaw,ab,T0H1W0,,,,,No,,56.190432,-117.627213
8,8,hbot clinics,,Calgary,ab,T2V4R6,,,,,No,,NA,NA
9,9,kensington clinic,,Calgary,ab,T2N0T3,,,,,No,,NA,NA
10,10,wabasca/desmarais healthcare centre,mistassiniy road,Desmarais,ab,T0G2K0,,,,,No,,55.9429643,-113.8018573
11,11,weiss clinic,,Edmonton,ab,T6W2Z8,,,,,No,,NA,NA
12,12,westview health centre - stony plain,south park drive,Stony Plain,ab,T7Z2M7,,,,,No,,53.53827,-113.978791
13,13,william j. cadzow - lac la biche healthcare centre,93 street,Lac la Biche County,ab,T0A2C0,,,,,No,,54.7643782,-111.9635723
14,14,123 walk-in clinic,gladwin road,Abbotsford,bc,V2T4V1,,,,,No,,49.051786,-122.315463
15,15,abbotsford village medical clinic,sumas way,Abbotsford,bc,V2S2C7,,,,,No,,49.038729,-122.269714
16,16,abby central medical and dental clinic,gladwin road,Abbotsford,bc,V2T6Y4,,,,,No,,49.0541,-122.3176
17,17,able care medical clinic,lougheed highway,Coquitlam,bc,V3B6J6,,,,,No,,49.277419,-122.795021
18,18,airport way medical clinic,airport drive,Northern Rockies,bc,V0C1R0,,,,,No,,58.80862,-122.6934
19,19,alder medical centre,evergreen road,Campbell River,bc,V9W5Y4,,,,,No,,50.007502,-125.241145
20,20,alder medical clinic,alder avenue,One Hundred Mile House,bc,V0K2E1,,,,,No,,51.6391635,-121.2962013
21,21,allwood medical centre,allwood street,Abbotsford,bc,V2T3R7,,,,,No,,49.051728,-122.319815
22,22,ancron medical centre,baker street,Nelson,bc,V1L4H8,,,,,No,,49.491628,-117.294835
23,23,apple plaza walk-in clinic,main street,Penticton,bc,V2A5H3,,,,,No,,49.47786,-119.5822
24,24,aquarius medical clinic,davie street,Vancouver,bc,V6Z2Y1,,,,,No,,49.273776,-123.120741
25,25,archway community services,simon avenue,Abbotsford,bc,V2T4Y2,,,,,No,,49.053349,-122.32308
26,26,avecina medical clinic,204 street,Langley,bc,V3A1Z4,,,,,No,,49.10429,-122.6567
27,27,bella bella medical clinic,waglisla street,Bella Bella 1,bc,V0T1Z0,,,,,No,,52.161197,-128.143155
28,28,bella coola medical clinic,elcho street,Central Coast E,bc,V0T1C0,,,,,No,,52.373495,-126.757077
29,29,beverly medical clinic,beverly street,North Cowichan,bc,V9L6X2,,,,,No,,48.785745,-123.708003
30,30,beyond health and medical centre,fraser highway,Surrey,bc,V3S7C9,,,,,No,,49.11913,-122.6903
31,31,borland medi-clinic,borland street,Williams Lake,bc,V2G1R7,,,,,No,,52.130092,-122.139779
32,32,boundary park medical centre,120 street,Surrey,bc,V3X3K1,,,,,No,,49.118235,-122.890172
33,33,brentwood medical clinic,lougheed highway,Burnaby,bc,V5C3Z6,,,,,No,,49.26859,-123.0008
34,34,brickyard medical clinic,56 avenue,Surrey,bc,V3S2X6,,,,,No,,49.10453,-122.7394
35,35,broadway station medical clinic,commercial drive,Vancouver,bc,V5N4C2,,,,,No,,49.26194,-123.069626
36,36,burnside family medical clinic,burnside w,Saanich,bc,V9A1B7,,,,,No,,48.45081,-123.387382
37,37,caledonian clinic,brickyard road,Nanaimo,bc,V9V1S5,,,,,No,,49.234503,-124.026347
38,38,canway medical centre,canada way,Burnaby,bc,V5G1K8,,,,,No,,49.254122,-122.98946
39,39,care point medical and wellness clinics,commercial drive,Vancouver,bc,V5L3Y3,,,,,No,,49.270184,-123.069821
40,40,carefiniti health corporation,marine drive,North Vancouver,bc,V7P1T3,,,,,No,,49.323719,-123.109974
41,41,caremart medical,barnet highway,Coquitlam,bc,V3B5R5,,,,,No,,49.2809,-122.7989
42,42,careplace medical centre,152 street,Surrey,bc,V3R4E7,,,,,No,,49.16775,-122.7998
43,43,caulfield village medical clinic,headland drive,West Vancouver,bc,V7W3C5,,,,,No,,49.35045,-123.2545
44,44,cedar care clinic,lougheed highway,Mission,bc,V2V7B8,,,,,No,,49.133045,-122.327389
45,45,central saanich medical clinic,mount newton cross road,Central Saanich,bc,V8M2B1,,,,,No,,48.594726,-123.418858
46,46,chetwynd primary care clinic,50 street sw,Chetwynd,bc,V0C1J0,,,,,No,,55.69561,-121.6306
47,47,civic family health centre,88 avenue,Surrey,bc,V3W3K8,,,,,No,,49.162652,-122.846488
48,48,clayton heights medical clinic,fraser highway,Surrey,bc,V3S7Y4,,,,,No,,49.12821,-122.7067
49,49,clover care medical clinic,56 avenue,Surrey,bc,V3S1C7,,,,,No,,49.10265,-122.7301
50,50,cloverhill medical clinic,64 avenue,Surrey,bc,V3S1E9,,,,,No,,49.118604,-122.711505
51,51,coach house square medical clinic,highway 97,One Hundred Mile House,bc,V0K2E0,,,,,No,,51.64667,-121.2951
52,52,coal harbour health centre,bute street,Vancouver,bc,V6E3M1,,,,,No,,49.288023,-123.123848
53,53,coast medical,lorimer road,Whistler,bc,V0N1B4,,,,,No,,50.12038,-122.956058
54,54,colebrookâ medical clinic,56 avenue,Surrey,bc,V3S5K7,,,,,No,,49.103543,-122.799043
55,55,colwood medical treatment centre,sooke road,Colwood,bc,V9B1V7,,,,,No,,48.441188,-123.470525
56,56,commercial drive medical clinic,commercial drive,Vancouver,bc,V5L3Y1,,,,,No,,49.271111,-123.069667
57,57,comox valley medical clinic,cliffe avenue,Courtenay,bc,V9N2L9,,,,,No,,49.667209,-124.981057
58,58,continuum medical care,17 street,West Vancouver,bc,V7V3S8,,,,,No,,49.328644,-123.16017
59,59,cook and quadra medical clinic,cook street,Saanich,bc,V8X1B3,,,,,No,,48.455102,-123.357643
60,60,cook road medical clinic,cook road,Richmond,bc,V6Y3T8,,,,,No,,49.166673,-123.134096
61,61,cormorant island community health centre,school road,Alert Bay,bc,V0N1A0,,,,,No,,50.594,-126.943046
62,62,cottonwood medical clinic,238b street,Maple Ridge,bc,V4R1W1,,,,,No,,49.22069,-122.561484
63,63,cowichan way clinic,cowichan way,Cowichan,bc,V9L6P5,,,,,No,,48.774515,-123.704014
64,64,cross roads clinics,west broadway,Vancouver,bc,V5Z1E6,,,,,No,,49.263314,-123.115352
65,65,dawson medical clinic,dawson street,Burnaby,bc,V5C0B8,,,,,No,,49.264467,-123.011697
66,66,delta medical center,trenant street,Delta,bc,V4K2K5,,,,,No,,49.09232,-123.085306
67,67,denman medical centre,denman street,Vancouver,bc,V6G2N1,,,,,No,,49.287963,-123.141131
68,68,denning health group,king george highway,Surrey,bc,V3T2W1,,,,,No,,49.18544,-122.8474
69,69,discovery medical clinic,island highway,Campbell River 11,bc,V9W8E5,,,,,No,,50.03209,-125.2611
70,70,doc-side medical,east hastings street,Vancouver,bc,V6A2S5,,,,,No,,49.28098,-123.0901
71,71,edgemont medical clinic,edgemont boulvard n,North Vancouver,bc,V7R2N5,,,,,No,,49.336925,-123.101618
72,72,edwards crossing medical,yale road,Chilliwack,bc,V2P2M4,,,,,No,,49.168184,-121.958392
73,73,elicare medical,cameron street,Burnaby,bc,V3J1M2,,,,,No,,49.253444,-122.89804
74,74,eljen medical clinic,111 avenue,Dawson Creek,bc,V1G2X5,,,,,No,,55.749128,-120.237571
75,75,ellwood medical clinic,cardinal avenue,Abbotsford,bc,V2T5R9,,,,,No,,49.06074,-122.3788
76,76,esquimalt medical clinic,esquimalt road,Esquimalt,bc,V9A3N7,,,,,No,,48.429952,-123.409936
77,77,fairfield medical treatment centre,fort street,Victoria,bc,V8R6V4,,,,,No,,48.432404,-123.322827
78,78,first canadian medical clinic,104 avenue,Surrey,bc,V3R1M4,,,,,No,,49.191351,-122.80976
79,79,firstcare medical centre,commercial drive,Vancouver,bc,V5N4C2,,,,,No,,49.261542,-123.069778
80,80,foothills medical clinic,david avenue,Coquitlam,bc,V3E0K4,,,,,No,,49.293373,-122.755466
81,81,foremed clinic,columbia street,New Westminster,bc,V3L1B1,,,,,No,,49.204289,-122.905839
82,82,fraser canyon clinic,wallace street,Hope,bc,V0X1L0,,,,,No,,49.378762,-121.443439
83,83,fraser highway medical clinic,fraser highway,Langley,bc,V4W3R2,,,,,No,,49.05831,-122.4733
84,84,georgia medical clinic,denman street,Vancouver,bc,V6G2L3,,,,,No,,49.292361,-123.134202
85,85,gibsons medical associates,sunshine coast highway,Gibsons,bc,V0N1V7,,,,,No,,49.409182,-123.5307
86,86,glover medical centre,glover road,Langley,bc,V3A4H9,,,,,No,,49.108106,-122.65072
87,87,goldcity walk-in clinic,reid street,Quesnel,bc,V2J2M6,,,,,No,,52.98001,-122.497053
88,88,gordon head medical treatment centre,mckenzie avenue,Saanich,bc,V8N1A4,,,,,No,,48.468573,-123.333124
89,89,granville medical clinic,granville street,Vancouver,bc,V6H3G8,,,,,No,,49.262912,-123.138565
